Date,Gold Price (INR / 10gms),Silver Price (INR / 1kg)
2018-01-02,26941.496380777084,35030.824149693755
2018-01-03,26793.885998328165,34895.83220939765
2018-01-04,26802.260060443357,34927.55533171508
2018-01-05,26835.32914485508,34951.225864934815
2018-01-08,26847.986699262146,34924.044973395285
2018-01-09,26744.678608838236,34792.56244650923
2018-01-10,27001.168492211487,35057.020050315885
2018-01-11,27121.598969215684,34869.30943398653
2018-01-12,27160.976185959782,35046.42088510939
2018-01-15,27379.84470051602,35419.51162489752
2018-01-16,27241.01439956918,34912.85685501631
2018-01-17,27480.504808349546,35408.93855064543
2018-01-18,27337.00912508239,35069.02011317054
2018-01-19,27411.72256660826,34989.7563605382
2018-01-22,27348.25870400437,34960.0470525825
2018-01-23,27385.254180397707,34873.37752985998
2018-01-24,27745.637318179626,35232.880660375835
2018-01-25,27696.199979102035,35812.20145642773
2018-01-26,27657.622491632774,35564.61821338434
2018-01-29,27465.894352725576,35429.64457376179
2018-01-30,27530.334115163892,35403.16220698635
2018-01-31,27576.908868776827,35325.83471313518
2018-02-01,27455.76835126272,35185.79475589564
2018-02-02,27379.657783754243,35243.994750751524
2018-02-05,27497.58130113974,34794.66740077482
2018-02-06,27530.20965029659,34748.77370987187
2018-02-07,27248.09330139695,34331.38392785377
2018-02-08,27151.891605012297,33737.32701994952
2018-02-09,27225.38509566447,33884.1163716302
2018-02-12,27298.087764785312,33908.424074461065
2018-02-13,27391.817014274922,34318.56653125853
2018-02-14,27602.61640088736,34248.933951484556
2018-02-15,27839.594174289068,34633.52966707926
2018-02-16,27774.008034465573,34581.42336071503
2018-02-19,27872.780863954216,34608.11644477309
2018-02-20,27786.911514925974,34364.229115372866
2018-02-21,27746.99948205186,34274.478503383856
2018-02-22,27714.973962721237,34352.92252013439
2018-02-23,27730.709713681743,34685.57463340139
2018-02-26,27820.281854614434,34777.96014371373
2018-02-27,27612.221107833528,34594.68169723664
2018-02-28,27502.258193257992,34308.69406208304
2018-03-01,27430.227268474613,34220.92585625412
2018-03-02,27697.155511309018,34446.01999421287
2018-03-05,27672.936280354304,34601.6493478226
2018-03-06,27824.92532538139,34734.13391226067
2018-03-07,27734.745179995825,34725.80363479994
2018-03-08,27560.008113877862,34382.205428971014
2018-03-09,27636.19940559744,34498.16350153519
2018-03-12,27552.668952867043,34369.03821547413
2018-03-13,27619.613256787823,34473.62047775974
2018-03-14,27586.019013471156,34608.881093928336
2018-03-15,27488.899516935395,34435.38350860835
2018-03-16,27385.67357040204,34438.51401208867
2018-03-19,27453.92274978701,34066.37701769897
2018-03-20,27485.79371389072,34068.966273892
2018-03-21,27712.344927725175,34070.234483739776
2018-03-22,27804.568483193212,34558.28697606378
2018-03-23,28210.52122745029,34629.43085472696
2018-03-26,28253.935038693395,34701.113649267754
2018-03-27,27955.087833025224,34676.85426527561
2018-03-28,27817.868827447073,34353.48655151349
2018-03-29,27729.83280127638,34100.6668432813
2018-04-03,27912.699621232336,34580.80900991849
2018-04-04,27943.84347446429,34394.351573295615
2018-04-05,27761.388059221634,34092.74928866526
2018-04-06,27768.23281341328,33948.91744578583
2018-04-09,27801.007166042407,34105.518757696074
2018-04-10,27958.950575369334,34433.18234346616
2018-04-11,28202.09226405389,34585.79739804202
2018-04-12,28140.597960776122,34941.041416239335
2018-04-13,28201.781322809333,34640.94669442345
2018-04-16,28305.179184223638,34821.65297796068
2018-04-17,28245.8697819538,34989.01610349317
2018-04-18,28533.89487610719,35776.89508865561
2018-04-19,28491.065103862908,36326.847431478775
2018-04-20,28306.256181217548,36231.16089475461
2018-04-23,28186.32055877956,36044.350876910954
2018-04-24,28419.877642387513,35491.430144517486
2018-04-25,28214.90085040269,35363.35887617149
2018-04-26,28411.090240873214,35656.38076341891
2018-04-27,28380.585154564596,35499.8919867539
2018-04-30,28123.170916584953,35079.008499365016
2018-05-01,27925.214121947687,34716.90991367531
2018-05-02,27864.390345973927,34931.97225553394
2018-05-03,28242.91283783176,35361.35963460703
2018-05-04,28062.841384410116,35180.3529345572
2018-05-08,28200.270904110468,35493.14671805424
2018-05-09,28369.335113041943,35498.10627228447
2018-05-10,28552.62314530519,35939.759191087825
2018-05-11,28628.074156268587,36229.58605044448
2018-05-14,28579.600387319755,36042.53880720819
2018-05-15,28125.817446589608,35640.51461764753
2018-05-16,28260.246810648317,35575.62918931953
2018-05-17,28095.498391177844,35699.47585416433
2018-05-18,28065.2130033276,35705.10293600399
2018-05-21,28159.499936245116,35714.38110437732
2018-05-22,28314.193575031746,36305.58211005192
2018-05-23,28186.13885897086,36145.60708601926
2018-05-24,28657.449762743745,36259.68468275275
2018-05-25,28606.84522642146,36584.2815438777
2018-05-29,28068.9943692832,35695.61422106837
2018-05-30,28365.65941087016,35699.68821065154
2018-05-31,28299.11086993425,35879.287922581054
2018-06-01,28061.980770395614,35592.285203915955
2018-06-04,27900.269520970312,35407.034692558715
2018-06-05,27857.078621746754,35326.669495555165
2018-06-06,28044.30752172585,35689.029147523586
2018-06-07,27873.346578520104,35979.1241824875
2018-06-08,28136.840957850407,36237.086910476304
2018-06-11,28212.1439066343,36383.15880849422
2018-06-12,28167.512033710038,36558.22703023776
2018-06-13,28117.45589724629,36672.11294548845
2018-06-14,28329.739257639816,37240.20608613179
2018-06-15,27967.776766199946,37482.58741861848
2018-06-18,28039.713675808187,36330.96216197533
2018-06-19,27913.35673527095,35773.455268217396
2018-06-20,27981.315245615446,35761.710781262555
2018-06-21,27702.768889723022,35543.29902567235
2018-06-22,27721.48400552993,35876.403481923255
2018-06-25,27680.04004176379,35726.3857242754
2018-06-26,27597.059790891697,35528.23098525889
2018-06-27,27574.092798623948,35626.97626858713
2018-06-28,27732.514343546547,35697.39971032198
2018-06-29,27671.836360570356,35473.59245551144
2018-07-02,27460.746829134987,35167.71392287042
2018-07-03,27652.313125612876,35190.840670342564
2018-07-04,27669.836210731915,35357.18727361873
2018-07-05,27724.052034176217,35220.91835484751
2018-07-06,27797.42530755381,35417.99639895831
2018-07-09,27914.33867542238,35842.62574662015
2018-07-10,27681.777759416145,35165.129163277445
2018-07-11,27659.668028164037,35176.89121529731
2018-07-12,27528.087096307492,34998.386676740556
2018-07-13,27339.477416818045,34810.11016830903
2018-07-16,27330.254580867106,34815.190147732574
2018-07-17,27167.299232305042,34752.458541000204
2018-07-18,26910.773923674184,33932.40909608243
2018-07-19,26860.59158287653,33665.36302859806
2018-07-20,27232.948201568954,34064.733579500695
2018-07-23,27069.13717102577,34218.995803366175
2018-07-24,27185.735886620478,34326.597761345176
2018-07-25,27295.83888083335,34499.36923915315
2018-07-26,27138.111386178403,34324.49097368463
2018-07-27,27015.557525680393,33892.224830003055
2018-07-30,26989.62149873808,34161.56537142122
2018-07-31,26927.750285337665,34030.4833861141
2018-08-01,26826.935714630188,34056.343739450545
2018-08-02,26705.824336489466,33946.685260501225
2018-08-03,26833.015105952705,33885.97484398862
2018-08-06,26654.22462906104,33812.18343594772
2018-08-07,26820.830723889594,34213.234391467195
2018-08-08,26685.075494863922,33854.11793383381
2018-08-09,26803.66214413169,34168.130274727926
2018-08-10,26843.80882254409,33985.80044850258
2018-08-13,26583.411079476584,33629.282895976336
2018-08-14,26919.5007343225,33812.42218383782
2018-08-15,26582.62155834552,33340.724585657554
2018-08-16,26815.97528303889,33179.20357580337
2018-08-17,26522.381231951393,32995.42675325928
2018-08-20,26689.80883781568,33250.99247705242
2018-08-21,26731.33155876349,33185.502086260385
2018-08-22,26856.190862764648,33237.80442715451
2018-08-23,26780.8852123716,32848.61376533187
2018-08-24,27060.73911148263,33032.312416287554
2018-08-28,27260.86332727828,33506.85614159178
2018-08-29,27137.136659347023,33104.5123339817
2018-08-30,27149.090745414505,33253.27117526966
2018-08-31,27345.894176684295,33328.12833459256
2018-09-03,27392.785731525393,33155.302924911986
2018-09-04,27263.18478627807,32623.788319642477
2018-09-05,27539.47182474641,32609.20161750285
2018-09-06,27799.79854522803,32905.78983924638
2018-09-07,27729.825599112643,32809.03962994518
2018-09-10,27616.0349189641,32806.446295593734
2018-09-11,27714.646396804215,32900.73373575321
2018-09-12,27919.69340646551,33054.8059692639
2018-09-13,27977.852653238384,32896.755992090926
2018-09-14,27834.95661197293,32919.33177246933
2018-09-17,27773.13160959378,32743.59554937547
2018-09-18,27987.560403298667,33136.4133753436
2018-09-19,28126.58495342968,33156.78613516164
2018-09-20,28107.68212313727,33100.70067548668
2018-09-21,27751.21552111499,33175.51667786584
2018-09-24,27931.982945809956,33244.34303631424
2018-09-25,28078.40342848876,33383.841001173496
2018-09-26,27905.445591091033,33823.0123450737
2018-09-27,27666.25767865353,33655.0899043516
2018-09-28,27697.9846316331,33372.89283263941
2018-10-01,27723.0776061858,33915.22925715756
2018-10-02,28241.420323982835,34003.63590930281
2018-10-03,28160.528686096422,34544.23827752503
2018-10-04,28375.781661115314,34495.63219927018
2018-10-05,28494.339416400086,34641.52328950118
2018-10-08,28148.91984824859,34304.23569694729
2018-10-09,28228.161047615216,34108.085446171644
2018-10-10,28404.91582066327,34353.07630170238
2018-10-11,28953.198637886406,34583.887884000185
2018-10-12,29036.586889015703,34755.82443776423
2018-10-15,29105.40812453583,34880.58179240278
2018-10-16,29185.4758752552,34990.79357596412
2018-10-17,29026.815278023372,34599.31197453662
2018-10-18,28937.0139842783,34343.479802273054
2018-10-19,29024.135301027218,34535.376206214736
2018-10-22,28832.02903557478,34509.74268104876
2018-10-23,29226.530531628276,34796.58536129374
2018-10-24,28968.081479753084,34710.84973539955
2018-10-25,28974.162942305524,34699.31441091838
2018-10-26,29045.962744851862,34581.609816580116
2018-10-29,28936.37371999936,34442.46628192969
2018-10-30,28992.85289906281,34129.41921568312
2018-10-31,28768.81056148022,33955.69722635716
2018-11-01,29318.655617535,34411.28811870046
2018-11-02,28948.912336489462,34820.45944540003
2018-11-05,28883.30413546707,34538.07964585979
2018-11-06,28850.250689343644,34434.77469416625
2018-11-07,28957.912193113316,34539.011494204824
2018-11-08,28486.81766603437,33719.232772196054
2018-11-09,28186.22394077837,33365.56474416062
2018-11-12,28088.867717636276,32992.27463661646
2018-11-13,28155.346695966688,32837.364668284914
2018-11-14,28087.504576574982,32610.217239538957
2018-11-15,28169.614259858216,32845.37273522272
2018-11-16,28254.383465783594,33018.15018068706
2018-11-19,28189.863662674616,33137.39703634639
2018-11-20,28151.43225038983,33238.485829569014
2018-11-21,28151.794083013167,33108.952832317904
2018-11-22,28126.26466343016,33282.536401369616
2018-11-23,27867.361077161735,32464.2857152732
2018-11-26,27796.76742270163,32672.675783754243
2018-11-27,27801.670724773743,32498.268063883483
2018-11-28,27648.064160062375,32245.63015577025
2018-11-29,27845.95040791229,32393.270749754847
2018-11-30,27311.740567781762,31931.553281785003
2018-12-03,27593.59250907454,32263.173879788446
2018-12-04,28106.98048139277,32961.060316202354
2018-12-05,28064.88443175206,32881.26276978475
2018-12-06,28311.77270328098,32765.14357355281
2018-12-07,28286.888374845275,32955.48766264246
2018-12-10,28573.761878663172,33338.15875833909
2018-12-11,29023.034227466364,34120.06914720208
2018-12-12,28953.61828660762,34061.02957979005
2018-12-13,28699.900328098123,33901.793346729464
2018-12-14,28405.87981865385,33525.53752021477
2018-12-17,28706.43383111226,33754.59541209188
2018-12-18,28685.714474191005,33730.97533653768
2018-12-19,28474.39998713971,33227.69623997298
2018-12-20,28628.911591782275,33566.10630765026
2018-12-21,28436.65464479882,33202.27768804153
2018-12-27,28598.13285835999,33954.64433616795
2018-12-28,28780.429032745513,34417.25270178597
2019-01-02,28642.57269532368,34472.00268265629
2019-01-03,29025.633999244455,34942.32431928882
2019-01-04,28846.15316919318,35395.64305978427
2019-01-07,28884.275912485737,35205.64507209799
2019-01-08,28873.62255922967,35103.07099586862
2019-01-09,29052.381564775667,35216.374363013805
2019-01-10,29303.515571591623,35622.85873920941
2019-01-11,29178.380135933257,35495.32569389297
2019-01-14,29247.776416882345,35328.10123764206
2019-01-15,29582.658770106256,35652.77169450383
2019-01-16,29537.780782773643,35519.39281624254
2019-01-17,29614.288719468874,35735.844642885844
2019-01-18,29326.83611677143,35328.309821402734
2019-01-21,29302.924217097752,34946.86597263973
2019-01-22,29342.770407124597,34924.78561833876
2019-01-23,29308.731338788242,35233.226414069155
2019-01-24,29367.958545211954,35002.7082450528
2019-01-25,29531.711354735,35091.58838233639
2019-01-28,29713.727923127626,35791.561838056805
2019-01-29,29885.33900610864,36238.159148166604
2019-01-30,30097.407706753263,36545.37603211856
2019-01-31,30256.89841006639,36756.44375150706
2019-02-01,30080.78224119472,36520.30967479543
2019-02-04,30143.021052518205,36169.7874840452
2019-02-05,30288.68917375858,36564.4539447329
2019-02-06,30283.069128168863,36296.30275724597
2019-02-07,30131.03061391805,36134.235949973474
2019-02-08,30259.2845273683,36315.28386065876
2019-02-11,29884.213227707496,35925.56404938351
2019-02-12,30000.258469304095,36206.41880913723
2019-02-13,29829.959190187597,35662.797797836254
2019-02-14,29879.60565873616,35496.9122851126
2019-02-15,30057.13766396065,35786.38356937322
2019-02-18,30393.576285627016,36148.98001832591
2019-02-19,30616.15621311107,36212.04100310254
2019-02-20,30805.566495731997,36760.3541402093
2019-02-21,30409.435135917178,36342.844169948716
2019-02-22,30417.2911704149,36320.86158342308
2019-02-25,30395.662401594673,36434.60378028196
2019-02-26,30172.168743083574,36045.84213448647
2019-02-27,30171.19669673831,36173.04906907582
2019-02-28,30203.56732628161,36210.39436494285
2019-03-01,29870.289139132252,35426.784481489216
2019-03-04,29337.709077499323,34600.87673991673
2019-03-05,29264.045064896232,34443.03792885045
2019-03-06,29137.142719484942,34205.01375359686
2019-03-07,28955.46080212838,33961.22085054736
2019-03-08,29387.261727860212,34253.97810037455
2019-03-11,29088.547904576655,34415.72927484045
2019-03-12,29103.235714630184,34655.52412107962
2019-03-13,29252.006697622455,34736.68801003102
2019-03-14,29043.005401851882,34153.07686289324
2019-03-15,29058.20067211086,34230.04766553604
2019-03-18,28943.701100133425,34095.75083640104
2019-03-19,28848.146634494515,33994.79541466394
2019-03-20,28924.464068770398,33989.62871316733
2019-03-21,28959.745822560162,34364.26772163904
2019-03-22,29005.7692345556,34197.29980677416
2019-03-25,29341.028633578215,34520.8191835324
2019-03-26,29168.380644075423,34214.06952400855
2019-03-27,29048.487855064544,34156.42612567718
2019-03-28,28769.08010976257,33752.55161702059
2019-03-29,28812.744220489658,33585.95319819313
2019-04-01,28873.826096741526,33639.62576558908
2019-04-02,28705.11599045124,33425.898454354014
2019-04-03,28590.208409021496,33598.39672384136
2019-04-04,28235.61230509428,33194.4208878422
2019-04-05,28570.75147801694,33694.17274309965
2019-04-08,28906.280643657465,33664.699149613385
2019-04-09,29135.319205555643,34110.460052244925
2019-04-10,29069.854279630912,33947.675398749336
2019-04-11,28871.247704084744,33699.423713729964
2019-04-12,28718.15901747392,33426.49042712235
2019-04-15,28596.499642918,33219.67270773385
2019-04-16,28473.76462455994,33340.41699487196
2019-04-17,28517.987807658305,33528.221743533686
2019-04-18,28464.59625948848,33368.976801806864
2019-04-23,28444.21288247304,33552.74422331892
2019-04-24,28521.207350201752,33205.400449788605
2019-04-25,28805.699115019208,33431.97355908499
2019-04-26,28967.837735303103,33835.661581494045
2019-04-29,28731.21065442796,33615.179640233415
2019-04-30,28799.03237478097,33654.644009677366
2019-05-01,28742.944893211374,33314.77021428456
2019-05-02,28455.246776777534,32855.796565499055
2019-05-03,28537.765860289037,32710.567336634136
2019-05-07,28588.14075586349,33091.01837413796
2019-05-08,28760.033997588696,33410.154651727295
2019-05-09,28831.446892375454,33223.08086035333
2019-05-10,29046.7026498947,33388.70062195572
2019-05-13,29161.466936775603,32996.84357001624
2019-05-14,29478.71104692398,33499.56727490475
2019-05-15,29365.12688311605,33488.13446026974
2019-05-16,29159.06798913306,33398.49894706383
2019-05-17,28918.567311588726,32693.695711415112
2019-05-20,28848.2273315061,32568.21059510987
2019-05-21,28445.216289661937,32290.7973928979
2019-05-22,,
2019-05-23,28741.856827270247,32421.772824280226
2019-05-24,28722.29207404311,32585.524341312066
2019-05-28,28560.418212355526,32351.940523735273
2019-05-29,28792.674055974414,32293.89377401257
2019-05-30,28752.321031700616,32322.37190026846
2019-05-31,29075.36884773418,32496.726557461378
2019-06-03,29460.12812104747,32891.29026042085
2019-06-04,29445.96143569052,32731.32356680116
2019-06-05,29738.646838731973,33056.55361872458
2019-06-06,29794.270557654287,33363.7825675567
2019-06-07,29896.14845295546,33248.91458871187
2019-06-10,29622.310286623688,32875.2796309097
2019-06-11,29594.98856170528,32839.86686659058
2019-06-12,29723.482614496756,32995.1069815294
2019-06-13,29936.253473821274,33154.193438519775
2019-06-14,30218.54329858376,33601.00744208851
2019-06-17,30111.59786995033,33180.45303197389
2019-06-18,30108.841220875467,33434.31542736348
2019-06-19,30075.89329596348,33442.522622534445
2019-06-20,30886.901438262572,34323.7549147202
2019-06-21,31223.463370456702,34170.04293986207
2019-06-24,31458.82888144421,34397.25403057533
2019-06-25,31873.370165479777,34291.59567894288
2019-06-26,31432.978254263988,34154.356157184884
2019-06-27,31384.73408217725,34126.003190959214
2019-06-28,31404.47884418152,33923.077928207436
